회기,날짜,장소,중요결의사항
제21회,2011년 10월04일,안양평안교회,"<i class=""fa fa-angle-right""></i> 문영수, 최대복: 조사위원 구성
<i class=""fa fa-angle-right""></i> 노회발전위원회구성:구성처리
<i class=""fa fa-angle-right""></i> 교회가입: 충훈부 새안양교회
<i class=""fa fa-angle-right""></i> 목사후보생이래: 윤병혁(서경에서)
<i class=""fa fa-angle-right""></i> 목사장립:박종혁(산본양문교회부목사)
<i class=""fa fa-angle-right""></i> 강도사인허:안동학,이승욱,정철규,조헌준
<i class=""fa fa-angle-right""></i> 장로고시합격:배현명(덕원)
<i class=""fa fa-angle-right""></i> 장로증선:평촌양문1인
<i class=""fa fa-angle-right""></i> 강도사고시허락:이광석(새안양)
<i class=""fa fa-angle-right""></i> 새안건처리:중부협의회탈퇴하고 서울협의회에 가입키로하다
&nbsp;&nbsp;(당회가 21당회되면)"
"제21회1차
(임시)",2012년 01월17일,서광교회,"<i class=""fa fa-angle-right""></i> 교회명칭변경: 평촌양문을 행복한교회로
<i class=""fa fa-angle-right""></i> 교회주소변경: 
&nbsp;&nbsp;행복한교회
&nbsp;&nbsp;서광교회
&nbsp;&nbsp;등대교회
<i class=""fa fa-angle-right""></i> 장로선택허락: 대유평교회
<i class=""fa fa-angle-right""></i> 강도사고시허락:윤병혁목사후보생
<i class=""fa fa-angle-right""></i> 교회가입허락: 샬롬교회"
제 22 회,2012년 04월02일,함께가는교회,"<i class=""fa fa-angle-right""></i> 노회장 강명호목사(함께가는교회)  부노회장 목사: 정규천목사(평안교회) 
&nbsp;&nbsp;장로: 조희철장로(창세교회)  서기 김종수목사(조은교회) 
&nbsp;&nbsp;부서기 유병돈목사(하늘문교회) 회록서기 조충휘목사(광정교회)
&nbsp;&nbsp;회록부서기 우기종목사(덕원교회)회계 최근철장로(산본양문교회)
&nbsp;&nbsp;부회계 김종기장로(선한교회)
<i class=""fa fa-angle-right""></i> 총회총대
&nbsp;&nbsp;① 목사총대 : 강명호 김  구 정영교  부  박승규 박영언 남명철 
&nbsp;&nbsp;② 장로총대 : 조희철 이영화 이동기  부  김종기 강재성 이기철
<i class=""fa fa-angle-right""></i> 총신 신학원 이사 : 김  구 
<i class=""fa fa-angle-right""></i> 기독신문 이사 : 이흥근
<i class=""fa fa-angle-right""></i> 고시합격 : 
&nbsp;&nbsp; ① 장로고시 : 한지연(동성교회), 
&nbsp;&nbsp; ② 목사후보생고시 : 이성민(행복한교회)    김성우(호계동산교회), 
&nbsp;&nbsp;&nbsp;&nbsp;박일신(산본양문교회)  이성민(행복한교회)
&nbsp;&nbsp;&nbsp;&nbsp;김성우(호계동산교회)
<i class=""fa fa-angle-right""></i> 부목사사임 : 최대복(하늘문교회) 박기영(광정교회)
<i class=""fa fa-angle-right""></i> 교회가입 : 열매맺는교회(1회기 연장 후 처리키로 함), 
&nbsp;&nbsp;그루터기교회(보류하기 함)
<i class=""fa fa-angle-right""></i> 이명접수 : 
&nbsp;&nbsp;① 이거 : 박기영(경기서노회로), 조형준
&nbsp;&nbsp;② 이래 : 남병한(중경기에서:보류) 이경원(강도사/동인천에서) 
&nbsp;&nbsp;임찬병(강도사/중경기에서) 
<i class=""fa fa-angle-right""></i> 부목사 청빙 허락 : 조경재(하늘문), 이광석(새안양) 
<i class=""fa fa-angle-right""></i> 강도사인허 : 이광석
<i class=""fa fa-angle-right""></i> 목사장립 : 이광석(군목후보생 입대 예정)
<i class=""fa fa-angle-right""></i> 강도사 고시 청원 : 김동구(산오름교회)
<i class=""fa fa-angle-right""></i> 장로증선허락 : 선한교회 2명
<i class=""fa fa-angle-right""></i> 당회조직보고 : 진리와사랑의교회 , 산오름교회 , 대유평교회
<i class=""fa fa-angle-right""></i> 주 소 변 경 허 락 : 은향교회 
&nbsp;&nbsp;1) 구 : 서울 동작구 사당1동147-115
&nbsp;&nbsp;2) 신 : 서울 동작구 사당4동 삼익아파트 101동 306호
<i class=""fa fa-angle-right""></i> 제 22회기부터 재정 장부를 새로 작성하여 수입 지출의 새 출발한다.   
<i class=""fa fa-angle-right""></i> 새 안양교회의 기부금과 서광교회 작정 기부금은 환불키로 하다. 
<i class=""fa fa-angle-right""></i> 22회기부터 4월30일까지 자동이체한 경우와
&nbsp;&nbsp;1년 선납으로 완납한 경우를 제외하고
&nbsp;&nbsp;총회 인터넷 서류발급을 중지하고 2개월 이상 미납교회는
&nbsp;&nbsp;정회원 건을 잠정 보류키로 한다.
&nbsp;&nbsp;(단, 해 월까지 완납시 자동 해제한다.)"
"제22회1차
(임시)",2012년 07월16일,삼흥수양관,"<i class=""fa fa-angle-right""></i> 남경기노회 교회자립위원회 조직 보고의 건
&nbsp;&nbsp;(별지 추인 허락의 건)은 허락하다
<i class=""fa fa-angle-right""></i> 자연공원법 개정안 반대위원회 조직 보고의 건
&nbsp;&nbsp;(별지 추인 허락의 건)은 허락하다. 
<i class=""fa fa-angle-right""></i> 노회정보 변경 신청의 건 (추인 허락의 건)은 허락하다.
<i class=""fa fa-angle-right""></i> 노회행정프로그램(GAIS) 사용 허락 요청의 건은 허락하다.
<i class=""fa fa-angle-right""></i> 바울교회 : 
&nbsp;&nbsp;구/ 화성시 봉담읍 와우리237번지
&nbsp;&nbsp;신/ 화성시 봉담읍 효행로 265번길 47 경운빌딩2층
<i class=""fa fa-angle-right""></i> 부흥교회 : 
&nbsp;&nbsp;구/ 안산시 단원구 와동 786-201호
&nbsp;&nbsp;신/ 안양시 동안구 비산동 332-13 대원빌라 가동 201호"
제 23 회,2012년 10월08일,하늘문교회,"<i class=""fa fa-angle-right""></i> 고시합격 : 
&nbsp;&nbsp;(1) 목사후보생고시 : 이신성(삼흥교회) 황주현(은혜교회), 
&nbsp;&nbsp;&nbsp;&nbsp;황대현(은혜교회)
&nbsp;&nbsp;(2) 목사고시  : 김동섭(창세교회), 임찬병(안양평안교회)
&nbsp;&nbsp;&nbsp;&nbsp;이경원(새안양교회)
<i class=""fa fa-angle-right""></i> 목사장립허락: 김동섭(창세교회), 임찬병(안양평안교회)
&nbsp;&nbsp; 이경원(새안양교회)
<i class=""fa fa-angle-right""></i> 목사장립 : 김동섭(창세교회), 임찬병(안양평안교회)
&nbsp;&nbsp;이경원(새안양교회)
<i class=""fa fa-angle-right""></i> 목사가입 : 임동열(새안양교회)
<i class=""fa fa-angle-right""></i> 부목사 청빙 : 김동섭(창세교회)     임찬병(안양평안교회)
&nbsp;&nbsp;이경원(새안양교회)  임동열(새안양교회)
<i class=""fa fa-angle-right""></i> 강도사인허 : 윤병혁(평안교회), 김동구(산오름교회) 
<i class=""fa fa-angle-right""></i> 장로증선허락 : 산오름교회 2명, 안양평안교회 2명
<i class=""fa fa-angle-right""></i> 장로징립취임보고 : 안양동성교회 
<i class=""fa fa-angle-right""></i> 교회명칭변경  : 안양산성교회가 [안양베데스다교회]로 
<i class=""fa fa-angle-right""></i> 교회 주소 변경 : 
&nbsp;&nbsp;안산샘물교회
&nbsp;&nbsp;&nbsp;&nbsp;구/ 경기도 안산시 단원구 선부2동 1027-3
&nbsp;&nbsp;&nbsp;&nbsp;신/ 경기도 안산시 단원구 선부동 1011-7
&nbsp;&nbsp;한소망교회 
&nbsp;&nbsp;&nbsp;&nbsp;구/ 경기도 군포시 당정동 1018-7
&nbsp;&nbsp;&nbsp;&nbsp;신/ 경기도 군포시 당정역로 38번길 11   
<i class=""fa fa-angle-right""></i> 목사자유사직의 건: 나영수(반려)
<i class=""fa fa-angle-right""></i> 교회 폐쇠의 건: 부림교회(보류)
<i class=""fa fa-angle-right""></i> 시찰회 구역 조정의 건 : 현행대로 하다.
<i class=""fa fa-angle-right""></i> 선교사 파송의 건 : 선교부에서 처리토록하다.
<i class=""fa fa-angle-right""></i> 규칙개정의 건 : 
&nbsp;&nbsp;제3조 1)회원
&nbsp;&nbsp;&nbsp;&nbsp;정기노회 2회이상 결석계 제출없이 무단 불참시 자동 별명부에
&nbsp;&nbsp;&nbsp;&nbsp;기재된다. 별명부 기재후 3년 경과시 노회 결의로 권고사직(정치
&nbsp;&nbsp;17장 제4조)시킬 수 있다.(첨가)
&nbsp;&nbsp;제5장 제7조 12 공천부 삭제후 감사부 삽입
&nbsp;&nbsp;제8조 12)감사부 노회내의 회계 감사의 일을 한다
&nbsp;&nbsp;&nbsp;&nbsp;(단 목사3인 장로 2인의 비례구성한다)
&nbsp;&nbsp;제8조 5) 공천위원 : 공천위원은 각 시찰장으로 한다. 
&nbsp;&nbsp;제12조 1)교단 신학교와 기독신문사 및 총회선교회에 이사를 파송...
&nbsp;&nbsp;제6장 회의
&nbsp;&nbsp;&nbsp;&nbsp;③ 감사부: 감사부는 노회 개최 15일 전  오후 5시 노회장소에서
&nbsp;&nbsp;&nbsp;&nbsp;감사한다.
&nbsp;&nbsp;제7장 재정 제15조
&nbsp;&nbsp;&nbsp;&nbsp;(단, 미납금은 이월금에 포함하며 미납 지교회의 회원권은 노회비
&nbsp;&nbsp;&nbsp;&nbsp;완납시까지 효력 정지 할 수 있다.)
&nbsp;&nbsp;제19조 노회에 통보하고 재허락을 받아야 한다.
&nbsp;&nbsp;제21조 노회와 총회에 통계표를 제출 하지 않으면 청원권 발언권 및 
&nbsp;&nbsp;&nbsp;&nbsp;여타 회원권이 중지될 수 있다. 
&nbsp;&nbsp;제27조 본 규칙의 개정은 개정위원회(규칙부와 증경노회장)결의로
&nbsp;&nbsp;&nbsp;&nbsp;본회의 출석회원 3분의2이상의 찬성이 있어야 한다.     
<i class=""fa fa-angle-right""></i> 그루터기 교회 가입 건 : 기각
<i class=""fa fa-angle-right""></i> 열매맺는 교회 가입 건 : 기각 
<i class=""fa fa-angle-right""></i> 목사이래의 접수건(남병한목사:중경기노회)은 그루터기교회
&nbsp;&nbsp;가입 기각으로 반송키로 하다.
<i class=""fa fa-angle-right""></i> 제97회 총회가 비정상적으로 파회되었음은 유감이며
&nbsp;&nbsp;비상 속회를 요구하는 긴급히 조직된
&nbsp;&nbsp;비상대책위원회(전국노회장모임)의
&nbsp;&nbsp;결의를 본 노회는 지지하기로 결의함."
"제23회1차
(임시)",2013년 01월31일,조은교회,"<i class=""fa fa-angle-right""></i> 목사후보생 계속 추천 허락
&nbsp;&nbsp;강치원(함께가는)   서반석(창세)    장영민(안양평안)
&nbsp;&nbsp;정현진(안양평안)   김호수(서광)    한은택(산본양문)
&nbsp;&nbsp;김윤식(산본양문)   임동열(새안양) 이지훈(바울)
<i class=""fa fa-angle-right""></i> 부목사 시무 사면 허락
&nbsp;&nbsp;임찬병(안양평안)   이경원(새안양)
<i class=""fa fa-angle-right""></i> 이명 허락     이경원(동인천노회로)"
제 24 회,2013년 04월08일,안양평안교회,"<i class=""fa fa-angle-right""></i> 노회장:정규천목사, 부노회장:유병돈목사/이영화장로, 서기:박영언목사, 부서기:조충휘목사, 회록서기:황승철목사, 부회록서기:조용구목사, 회계:최근철장로, 부회계:강재성장로
<i class=""fa fa-angle-right""></i> 부목사청빙: 박태영,이광철(새안양) 송대선(하늘문) 박종경(선한) 강영기,김완철(산본양문)
<i class=""fa fa-angle-right""></i> 장로선택: 은향교회(김호철목사)2인 허락.
<i class=""fa fa-angle-right""></i> 교회폐쇄: 광성교회."
제 25 회,2013년 10월07일,산본양문교회,"<i class=""fa fa-angle-right""></i> 위임목사청빙: 박혜영(산오름)
<i class=""fa fa-angle-right""></i> 부목사청빙: 후정기(안양평안) 박병철,박신결(산본양문) 김동구,안문기(산오름) 이동영(호계동산)
<i class=""fa fa-angle-right""></i> 강도사인허청원: 이지훈(바울) 서반석(창세)
<i class=""fa fa-angle-right""></i> 장로선택및증선: 산본양문교회 2인증선, 하늘문교회 1인증선, 은혜교회 1인선택"
제25회1차(임시),2013년 11월22일,선한교회,"<i class=""fa fa-angle-right""></i> 선한교회 박종광씨의 신학계속추천의 건
<i class=""fa fa-angle-right""></i> 중경기노회장 이돈필씨가 보내온 이상훈씨의 이명 접수의 건
<i class=""fa fa-angle-right""></i> 등대교회 김용희씨가 청원한 이상훈씨의 임시목사 청비의 건
<i class=""fa fa-angle-right""></i> 경청노회장 오재업씨가 보내온 목사 심상태씨의 이명 접수의 건
<i class=""fa fa-angle-right""></i> 산본양문교회 당회장 정영교씨가 청원한 이성근씨의 장로고시의 건
<i class=""fa fa-angle-right""></i> 안양평안교회 당회장 정규천씨가 청원한 이창기씨의 목사후보생 고시의 건"
제 26 회,2014년 04월07일,하늘문교회,"<i class=""fa fa-angle-right""></i> 노회장:유병돈, 부노회장:박영언/최근철, 서기:조충휘, 부서기:황승철, 회록서기:김호철, 부회록서기:박혜영, 회계:이영화, 부회계:강명완
<i class=""fa fa-angle-right""></i> 부목사청빙: 박종경, 한경우
<i class=""fa fa-angle-right""></i> 장로증선: 함께가는교회 1인증선, 행복한교회 1인증선, 안양동성교회 2인증선
<i class=""fa fa-angle-right""></i> 선교사파송: 한경우씨의 대만선교사 파송의 건"
제26회1차(임시),2014년 06월24일,하늘문교회,"<i class=""fa fa-angle-right""></i> 조은교회 당회장 김종수씨가 헌의한 각지교회 상납금 배정에 관한 건
<i class=""fa fa-angle-right""></i> 산본양문교회 당회장 정영교씨가 헌의한 각 지교회 상납금 배정에 관한 건
<i class=""fa fa-angle-right""></i> 서광교회 당회장 김구씨가 헌의한 각 지교회 상납금 배저에 관한 건"
"제27 회 ",2014년 10월07일,서광교회,"<i class=""fa fa-angle-right""></i> 위임목사청빙: 김호철(은향)
<i class=""fa fa-angle-right""></i> 부목사청빙: 이일도(서광)
<i class=""fa fa-angle-right""></i> 목사장립: 이일도(서광)
<i class=""fa fa-angle-right""></i> 강도사인허: 장영민,정현진(안양평안)
<i class=""fa fa-angle-right""></i> 교회가입: 큰빛교회(이광현)
<i class=""fa fa-angle-right""></i> 목사은퇴: 배인수(풀샘), 교회폐지:풀샘교회"
