년도,"노회
장소",노회장,부노회장,부노회장,서기,부서기,"회록
서식","부회록
서서",회계,부회계
2001,서광,김종내,,한재현,김명묵,,김종수,,김종평,
2002,서광,김종내,박승규,한재현,김명묵,채정수,김종수,남명철,김종평,이기철
2003,조은,박승규,김명묵,김종평,김종수,김 구,우기종,나종춘,이희철,이정규
2004,선한,박승규,김명묵,김종평,김종수,김 구,우기종,나종춘,이희철,이정규
2005,삼흥,김명묵,김종수,이기철,김 구,우기종,나종춘,양남의,이정기,민영기
2006,창세,남명철,김종수,이정기,김 구,우기종,양남의,정영교,민명기,박태섭
2007,조은,김종수,우기종,조희철,나종춘,정영교,이흥근,강명호,민명기,박태섭
2008,덕원,우기종,김 구,김윤수,나종춘,정영교,이흥근,강명호,,
2009,서광,김 구,나종춘,박태섭,정영교,이흥근,강명호,정규천,배경환,강재성
2010,산본양문,정영교,나종춘,이정기,강명호,정규천,김용희,유병돈,이동휘,김종기
2011,서광,이흥근,강명호,안정남,강명호,정규천,유병돈,조충휘,이영화,김종기
2012,함께가는,강명호,정규천,조희철,김종수,유병돈,조충휘,우기종,최근철,김종기
2013,안양평안,정규천,유병돈,이영화,박영언,조충휘,황승철,조용구,최근철,강재성
2014,하늘문,유병돈,박영언,최근철,조충휘,황승철,김호철,박혜영,이영화,강명완
2015,안양동성,박영언,조충휘,강덕선,황승철,김호철,박혜형,박종권,이영화,이동기
2016,안양평안,조충휘,김호철,이영화,박혜영,문보길,김종수,우기종,김재득,조두휘
2017,서광,김호철,박혜영,정현진,문보길,김종수,우기종,조용구,김재득,조두희
2018,서광,박혜영,우기종,정현진,김종수,조용구,김구,이광현,김재득,조두희
2019,덕원,우기종,정영교,정현진,이흥근,이광현,노진경,김구,이영화,김재득
2020,서광,이흥근,정규천,이동기,이광현,김구,최본우,이원희,김재득,박형근
